求人番号,職種,仕事の内容,賃金,就業時間,事業所名,詳細
08010-01024211,システムエンジニア（産業系アプリケーション開発）,＊製造、流通業系のシステム設計から開発保守運用まで　幅広く携わって頂きます。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001024211&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01025511,システムエンジニア（ＶＢ．ＮＥＴ）,＊ＶＢ．ＮＥＴを使用したシステム開発（詳細設計からテストまで）に携わって頂きます。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001025511&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-01027111,営業,下記の業務を行っていただきます。※ソフト開発案件の受注活動（新規活動）、取引先への訪問（御用　聞き営業）、一般的な営業活動（パートナー企業の開拓、納品、,"210,000円〜320,000円",フレックスタイム制,株式会社東日本技術研究所　土浦事業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804001027111&kJKbn=1&jGSHNo=3R9CQZwdUeNxGRrGK77Ihw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08120-00337011,システムエンジニア,地元大手企業の製造工程を担う基幹システムや機械とスマートフォンを連動させる「ＩｏＴ」など、最新のシステム開発に携わることができます。,"201,000円〜485,000円","										（1）09時00分〜17時45分
",大栄システム　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0812000337011&kJKbn=1&jGSHNo=aN%2BI%2Fn0mXvZMykfM7IfBDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14090-00632811,運用保守／ＳＥサポート（水戸オフィス）,開発案件におけるＳＥサポート業務・ユーザーや現場ＳＥからの問い合わせ対応、調査、エスカレーション,"180,000円〜350,000円","										（1）09時00分〜18時00分
",株式会社　樋口総合研究所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1409000632811&kJKbn=1&jGSHNo=t%2BOUBnS1jgDRFX4Svagwhg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
05010-01233011,サービスエンジニア（茨城支店）,［主な仕事内容］・電子カルテ、レセコン等、システム等のセットアップ、サーバー構築、ＬＡＮ構築、インターネット接続設置,"210,000円〜268,000円",変形労働時間制,株式会社　アルファシステム,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0501001233011&kJKbn=1&jGSHNo=squAiRS80aoBnKGt7hOW1A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00805811,プログラマー、システムエンジニア,県内外大手プロジェクト先で、製造・医療・小売・金融・鉄道等の幅広い業界で使用するシステムの開発及び保守作業を行っていただきます。・取引先専用システムへの入力及びシステム保守業務（マ,"260,000円〜410,000円","										（1）09時00分〜18時00分
",株式会社　アイアイエス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000805811&kJKbn=1&jGSHNo=t94i7iT1u0ycEdsI12REsA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00271911,システムエンジニア／プログラマ,＊Ｗｅｂアプリケーション設計・開発などの業務　　※Ｖｂ．ｎｅｔ，Ｃ＃，ＪＡＶＡ，Ｃ＋＋の経験,"165,000円〜450,000円","										（1）09時00分〜18時00分
",有限会社　ドリームズ・カム・トゥルー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000271911&kJKbn=1&jGSHNo=Gaclk8ecpTC%2Fw%2BNV6BVYHA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00272111,ＩｏＴプラットフォームシステム開発（ＳＥ）,ＩｏＴプラットフォームシステムの設計及び、開発《開発環境》,"330,000円〜500,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000272111&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00529911,ＩＴインフラ／サーバーネットワークエンジニア,下記の業務を行っていただきます。・サーバー基盤の設計・構築・運用・保守（Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ）,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000529911&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00531811,営業職,・新規、既存顧客へ案件受注や当社技術者の提案・契約締結に伴う契約書類の作成・顧客及び社員のフォロー,"249,539円〜459,781円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000531811&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00564711,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発を担当して頂きます。　【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000564711&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00565811,プログラマー（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの開発を担当して頂きます。　【開発環境】,"280,000円〜400,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000565811&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00188511,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000188511&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00365011,システムエンジニア（業務系）,＊業務系システムの設計及び開発を担当して頂きます。【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000365011&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-06076701,システムエンジニア（ＶＢ．Ｎｅｔ）,業務系システム開発を担当して頂きます。《開発環境》,"280,000円〜470,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802006076701&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
