求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13010-05664002,ＲｕｂｙでのＷＥＢシステム開発ＰＧ,Ｒｕｂｙでメディアサイトの改修作業を行って頂きます。,"270,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005664002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05681302,情報処理技術（社内インフラ）,社内インフラ整備の構築、サポート社内業務に対するインフラ提案、環境整備、改善指導具体的には、各種案件支援システムの開発・プログラム作成など。,"202,000円〜253,000円",変形労働時間制,日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005681302&kJKbn=1&jGSHNo=qb%2B6Vl4rpWK8xW504JfuDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05714702,システムエンジニア・プロブラマ,＜未経験の方＞・１～２年目：プログラミングまたは設計の手伝い・３～４年目：基本設計～詳細設計,"212,000円〜349,000円","										（1）09時15分〜17時45分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005714702&kJKbn=1&jGSHNo=PGqxhXWSIsHAocAmd7XY8g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-07710502,システム管理及びデータベース構築,手術をしない近視、遠視、乱視治療オサート（オルソケラトロジー）の専門クリニックです。眼科検査が主体ですが、併設の航空身体検査、頸椎脳ドック、がん,"230,000円〜400,000円",交替制（シフト制）,水他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304007710502&kJKbn=1&jGSHNo=EmBDC8h7MUtaMr9PjFldag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-07816602,（ＳＥ・ＰＧ）オープン系システムエンジニア,オープン系システムの開発、またはテストを担当していただきます。スキルに合わせて業務をお任せしますが、経験の浅い方には先輩がしっかりサポートします。,"250,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304007816602&kJKbn=1&jGSHNo=2JGDfv7HaAwUlon1%2B4nyLw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-07819902,システムエンジニア（．ＮＥＴ／ＡＳＰ）【正社員】港区芝浦,．ＮＥＴ、ＡＳＰによる業務系アプリケーション開発＊金融・情報通信・製造・公共・流通等の開発業務に携わって頂きます。,"229,500円〜422,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304007819902&kJKbn=1&jGSHNo=hyef3NTs7wjIM2EKJp2yGw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-08014002,☆サーバ・インフラエンジニア募集【未経験可】,今後、インフラエンジニアを目指す方を募集いたします。Ｗｉｎｄｏｗｓ、Ｌｉｎｕｘ、ＡＷＳ、Ａｚｕｒｅ等の設計構築やＤＢやＮＷ等、本人の意向次第でキャリアプランを形成していきま,"190,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304008014002&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-08048302,Ｗｅｂアプリケーションプログラマー,Ｗｅｂアプリケーションの開発・運用を担当して頂きます。（システムエンジニア・プログラマー）【職務例】,"250,000円〜400,000円","										（1）10時00分〜19時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304008048302&kJKbn=1&jGSHNo=a%2FLJl5C4%2FJ2AVd5v6x3%2FLg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-73088501,システムエンジニア／プログラマー／文京区白山,金融向け社内開発ＡＳ４００でのＣＯＢＯＬ又はＶＢ、，ｎｅｔでの追加機能開発を行います。,"250,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308073088501&kJKbn=1&jGSHNo=%2BABiGsqItkkJSqBfJb6spg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13130-27109201,専門的・技術的職業（システム開発・設計）／〔港区芝〕,主として大型システムの設計・開発を担当して頂きます。１．大型汎用機系、Ｗｉｎｄｏｗｓ系、スマートフォン系２．官公、金融、製造、流通の案件,"200,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1313027109201&kJKbn=1&jGSHNo=JVEldVBcRSxw7jwOOFm%2F8A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33724501,Ｗｉｎｄｏｗｓサーバー構築（東京オフィス）,ＷｉｎｄｏｗｓＳｅｒｖｅｒの設計・構築・運用業務サーバ設定の検証や導入手順の作成など〔使用言語・環境等〕,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033724501&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33731201,．ＮＥＴ技術者（ＰＧ／ＳＥ）／東京オフィス,＊ＶＢ．ｎｅｔまたはＣ＃．ｎｅｔでのシステム開発経験者の募集です。［使用言語・環境等］,"230,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033731201&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33734301,オープン・組み込み技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｃ言語またはＣ＋＋でのシステム開発経験者の募集です。［使用言語・環境等］Ｃ言語またはＣ＋＋,"230,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033734301&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33736901,Ｒｕｂｙ技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｒｕｂｙでのシステム開発経験者の募集です。［使用言語・環境等］Ｒｕｂｙ、ＳＱＬ,"230,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033736901&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04712902,初級インフラエンジニア（サーバー／ネットワーク）,・ネットワーク等の研修・ルーターの設定など簡易的なところからスタート・クラウド環境（仮想化技術の修得）,"179,500円〜214,100円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004712902&kJKbn=1&jGSHNo=eKoaPuuUVQ8PwC%2B7sufjyg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
