求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13010-00428302,ＶＢＡエンジニア（Ａｃｃｅｓｓ、Ｅｘｃｅｌ）,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、ＶＢＡを用いたソフトウェ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000428302&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00429902,ＣＯＢＯＬエンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、主にＣＯＢＯＬを用いたソ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000429902&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00430702,．Ｎｅｔ系エンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、オープン系（ＶＢ．ｎｅｔ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000430702&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00431802,ネットワーク系エンジニア,自社およびクライアント先で、ネットワーク設計・構築・運用保守等の作業に従事して頂きます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000431802&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00432202,サーバー系エンジニア,自社およびクライアント先での、サーバー設計・構築・運用保守作業に従事して頂きます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000432202&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00433502,制御・組込系エンジニア,自社及びクライアント先でのシステムの設計、開発、運用主に当社クライアント先にて、Ｃ、Ｃ＋＋を用いたソフトウェアの設計、開発をご担当いただきます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000433502&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00714502,システムエンジニア,・当社の顧客は大手Ｓｉｅｒ（システム開発会社）からの直取引がほとんどです。・案件は、ビジネス課題や案件をヒアリングし、システムの要件定,"220,000円〜280,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000714502&kJKbn=1&jGSHNo=c6sVCM4k6eMfHxeZiTI7jw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00781002,ＩＳＯ認証事務（中小企業向けＩＳＯ認証の会社です）,当社は、１０名から２００名規模の中小企業（業種問わず）に向けてＩＳＯ認証をしている会社です。ＩＳＯ審査員が監査結果を報告してきますので、その報告書を受領,"200,000円〜400,000円","										（1）08時30分〜17時30分
",土日祝,不問,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000781002&kJKbn=1&jGSHNo=rUMHq4b7jLHH0lIabJ1TCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00815102,【新宿】クラウドサーバ運用保守,クラウドサーバ運用保守のお仕事です。・３年以上のブランク、転職回数の多い方も歓迎・他県からのご応募の方も安心です。※寮あり,"320,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000815102&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00816402,クラウドサーバ運用保守,クラウドサーバ運用保守のお仕事です。・３年以上のブランク、転職回数の多い方も歓迎・他県からのご応募の方も安心です。※寮あり,"320,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000816402&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00817702,ＩｏＴシステム開発技術者,ＩｏＴシステムの開発のお仕事です。・３年以上のブランク、転職回数の多い方、応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000817702&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00818802,ＩｏＴシステム開発技術者【新宿】,ＩｏＴシステムの開発のお仕事です。・３年以上のブランク、転職回数の多い方、応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000818802&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01165902,プロジェクトマネージャー,ＰＭ・ＰＭＯの業務,"300,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001165902&kJKbn=1&jGSHNo=MZlbQD3dL4uPSzOfEstb0A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04965802,システムエンジニア（チームリーダー）,システム開発の上流工程及びチームマネージメント１、要件定義・工数見積・基本設計２、チームマネージメント（担当案件遂行）,"245,000円〜305,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004965802&kJKbn=1&jGSHNo=dPmisqSeY8t0y3wahaaLSQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04967502,システムエンジニア（リーダー候補）,未経験ＯＫ！あなたの最初の一歩を応援します。チャレンジ精神があるあなたをエンジニアのリーダー候補としてお迎えします。最初はエンジニアとして担当して頂きます。徐々に開発要件のとりまと,"209,000円〜250,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004967502&kJKbn=1&jGSHNo=dPmisqSeY8t0y3wahaaLSQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04970902,システムエンジニア,未経験ＯＫ！あなたの最初の一歩を応援します。予約サイトの基幹システム開発保守業務を始め、様々なプロジェクトがあります。プログラミングだけではなく、開発工程に沿った設計書の作成やテス,"209,000円〜223,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004970902&kJKbn=1&jGSHNo=dPmisqSeY8t0y3wahaaLSQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-05002402,＜ＡＷＳ＞Ｗｅｂサーバ作成業務,設計工程～環境構築、テスト工程までをご担当頂きます。これまでのご経験や、今後のご希望を考慮し作業工程を選定致します。,"450,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304005002402&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-05007602,プログラミング改修業務（未経験歓迎）,既存で作られているシステムをより良いものにするため改修を行っていく業務になります。状況によっては一から作り直す部分もあるため、スキルアップも望,"200,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304005007602&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-05128502,システムエンジニア／プログラマー〔ＳＥ／ＰＧ〕,・オープン系（Ｗｅｂ）システムの設計・開発・モバイル向けアプリの企画・開発・取引先へのシステムエンジニアリングサービス提供,"240,000円〜520,000円",フレックスタイム制,土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304005128502&kJKbn=1&jGSHNo=%2F6ejRr8dqMD%2Fco64D9jAfA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-05187602,サーバーエンジニア,◆ホスティング業務・Ｌｉｎｕｘを中心としたホスティングサービス用サーバ／ネットワークの設計・構築・運用・保守,"225,000円〜380,000円","										（1）09時30分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304005187602&kJKbn=1&jGSHNo=724GQxv64CWv%2B%2FmOtjyE0Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-05207202,（ＳＥ・ＰＧ）ＲｘＪａｖａエンジニア,ＲｘＪａｖａを使用したシステム開発を担当していただきます。スキルに合わせて業務をお任せしますが、経験の浅い方には先輩がしっかりサポートします。,"250,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304005207202&kJKbn=1&jGSHNo=axxxKDssMc1GpK8DGmJAFw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-70762901,ＩＴ技術者（未経験者可）／プログラマ・システムエンジニア,ソフトウェアのプログラミング＊既卒・第二新卒者可,"207,000円〜235,000円","										（1）08時00分〜17時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308070762901&kJKbn=1&jGSHNo=lt%2Bx5e0JSSVbu2yZ%2FzwQFw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-70788901,ＩＴ技術者（未経験者可）／プログラマ・システムエンジニア,ソフトウェアのプログラミング＊既卒、第二新卒者歓迎,"207,000円〜235,000円","										（1）08時00分〜17時00分
",土日祝,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308070788901&kJKbn=1&jGSHNo=CZlkXAb74S7ty8heJ%2FHEqg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-38064401,ＪＢＯＳＳ経験者募集（茅場町）,概要：ＷｅｂサーバをＡｐａｃｈｅＴｏｍｃａｔからＪＢＯＳＳに載せ替える案件,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309038064401&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-38065701,ＮＷ機器の設計，構築業務（湯島）,主な業務はＩＰ系ＮＷ機器（ＳＷ、Ｒｏｕｔｅｒ等）の提案・設計・設置となります基本リモート※作業によっては出社致します。,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309038065701&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-38070901,Ｗｉｎｄｏｗｓサーバ運用保守作業（大手町）,Ｗｉｎｄｏｗｓサーバシステムを中心とした基盤システムの運用保守作業（セキュリティパッチやバージョンアップ、更改案件など）,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309038070901&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-32565901,Ｐｙｔｈｏｎ技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｐｙｔｈｏｎでのシステム開発経験者の募集です。［使用言語・環境等］Ｐｙｔｈｏｎ,"230,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703032565901&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00054802,社内技術部管理（ＧＭ）,技術業務管理全般を担当して頂きます。・社内外システム対応業務・エンジニア教育、指導業務,"250,000円〜500,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000054802&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00113902,システム開発（ＳＥ）,金融／勘定系のシステム設計・開発言語／ツール：ＶＢ．ＮＥＴ、ＶＢ、ＡｃｃｅｓｓＶＢＡ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000113902&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00172902,システム設計・開発（ＳＥ）,内容：金融系システムの改善ツール：ｂａｓｈＤＢ：ＰｏｓｔｇｒｅＳＱＬ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000172902&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00192202,カスタマー・プロジェクト・マネージャー,モバイル・ネットワーク（通信事業者向け）プロジェクト管理業務全般,"400,000円〜650,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000192202&kJKbn=1&jGSHNo=ZEB2oSO%2Bi0YZELeFkexzwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99740501,システムエンジニア,主に法人向けの業務システムの設計、開発を担当していただきます。（設計、プログラミング、試験、導入、保守）,"250,000円〜430,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099740501&kJKbn=1&jGSHNo=CBac3z2V7t2tQPjVNimhkw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99742301,【Ｗｅｂ】フロントサイドエンジニア【年内・年明入社】,Ｗｅｂ開発において、フロントエンドを自走して開発できる方を募集します！,"240,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099742301&kJKbn=1&jGSHNo=AOWxhLjrcJtHwaHjWhrj8w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99745101,ＥＵＣ推進エンジニア,業務効率化及び事務リスクの低減に向けて、作業ツールの作成と改善実務を行っていただきます,"220,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099745101&kJKbn=1&jGSHNo=AOWxhLjrcJtHwaHjWhrj8w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99751301,【駆け出し歓迎】ＷＥＢアプリ・エンジニア,ＷＥＢ環境下でのアプリケーション開発業務をご担当いただきます（具体的な業務）,"210,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099751301&kJKbn=1&jGSHNo=AOWxhLjrcJtHwaHjWhrj8w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99756701,【年内・年明け入社】Ｊａｖａエンジニア,ＷＥＢ環境でのシステム開発をご担当頂きます。・ＪＡＶＡを使用したシステム開発プロジェクトです。,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099756701&kJKbn=1&jGSHNo=AOWxhLjrcJtHwaHjWhrj8w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99879801,ネットワークエンジニア,Ｃｉｓｃｏ社（ルータ、スイッチ等）、無線ＬＡＮ、バランサー、ネットワーク各種の設計構築、運用保守,"190,000円〜270,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099879801&kJKbn=1&jGSHNo=HhEh8QNW1gO7dH95vsf06w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99912601,ソフトウェア開発技術者補助（未経験者）ＵＩターン歓迎,ソフトウェア開発における設計から評価まで、能力に応じた業務を担当していただきます。当社が担う技術フィールドで経験を積み、成長していただきます。,"211,000円〜287,600円","										（1）08時30分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099912601&kJKbn=1&jGSHNo=Ny6knxqf24I7mdUWeW3xBg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99958701,システムアーキテクト,１．業務プロセスのコンサルティング、基幹系統合業務パッケージの導入に際し、機能拡張要求対応２．パッケージシステムのカスタマイズ・アドオン開発プロジェク,"356,000円〜536,000円","										（1）09時00分〜17時30分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099958701&kJKbn=1&jGSHNo=Y5zwPe2UfgiJ5zFo5KWi5Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04369502,インフラエンジニア（ＰＭ，ＰＬ）,■サーバ、ストレージ、ネットワーク等に関連した仮想化やクラウド化の提案、構築、運用をお任せ致します。,"350,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004369502&kJKbn=1&jGSHNo=u8xUfVizaJJ95sOhN8B%2FGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04373402,システムエンジニア（ＰＨＰ）,ＰＨＰによるＷｅｂシステムの開発＊製造・流通・サービス業界等の中・小規模な開発業務にたずさわって頂きます。,"229,500円〜422,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004373402&kJKbn=1&jGSHNo=hyef3NTs7wjIM2EKJp2yGw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04376202,ＢＩ２１（ビジネスインテリジェンス）開発エンジニア,エクセルデータをクラウド上に取りまとめレポート自動化、データ分析、業務効率化に活用できるソリューションの開発メンバーを募集します。,"250,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004376202&kJKbn=1&jGSHNo=u8xUfVizaJJ95sOhN8B%2FGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04503802,学校向け管理システムの開発（Ｊａｖａエンジニア）,学校向けＷｅｂサービスの基本設計、実装からテスト〈環境〉言語：Ｊａｖａ、Ｊａｖａｓｃｒｉｐｔフレームワーク：Ｓｐｒｉｎｇ,"300,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004503802&kJKbn=1&jGSHNo=u8xUfVizaJJ95sOhN8B%2FGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04697902,ＩＴエンジニア【通信システム開発】,通信事業者向け通信制御ソフトウェアやネットワーク装置のソフトウェア設計・開発を担当していただきます。担当フェーズは、上流工程から設計、製造、テスト、運用,"230,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004697902&kJKbn=1&jGSHNo=xCwOyAmSrxoyWKhpsw5qUQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04707502,システムエンジニア（プログラマー）,顧客向けの開発業務全般を担当していただきます。※通信システムのソフトウェア開発※ＥＣサイト・ＷＥＢサイトシステム開発,"230,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004707502&kJKbn=1&jGSHNo=xCwOyAmSrxoyWKhpsw5qUQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-04716502,ネットワーク・サーバーエンジニア,顧客サイドのインフラ構築・運用といった業務を担当して頂きます。担当フェーズは、設計から運用保守まで様々な業務です。,"230,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304004716502&kJKbn=1&jGSHNo=xCwOyAmSrxoyWKhpsw5qUQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-70418501,プログラムのシステム開発,プログラム開発をご担当していただきます。案件は金融、製造、流通から官公庁までと幅広く手掛けていただきます。,"200,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308070418501&kJKbn=1&jGSHNo=KygSxu8qk2Z1raLbK%2FAwxg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
